rank,team,score,jspr_rank,nehj_rank,perf_rank,mhr_rank,record,win_pct,recent_form,roster_avg,updated
1,Dexter,92.4,3,1,1,2,16-1-2,89.5,5-0-0,9808.1,2026-01-26
2,Avon Old Farms,79.0,1,2,NR,3,-,50.0,-,9270.0,2026-01-26
3,Belmont Hill,78.8,5,4,4,16,12-4-2,72.2,3-2-0,9574.9,2026-01-26
4,Kimball Union,77.7,7,7,3,4,14-4-1,76.3,4-1-0,9890.3,2026-01-26
5,Tabor,76.1,8,8,2,5,12-3-1,78.1,4-1-0,7675.5,2026-01-26
6,Salisbury School,75.6,2,3,NR,6,-,50.0,-,7258.6,2026-01-26
7,St. Marks,73.4,4,5,NR,1,-,50.0,-,9990.0,2026-01-26
8,Hotchkiss School,67.5,6,6,NR,7,-,50.0,-,8496.3,2026-01-26
9,Canterbury,63.5,12,9,NR,9,-,50.0,-,7615.5,2026-01-26
10,Thayer Academy,62.6,10,10,6,24,7-4-3,60.7,1-2-2,8601.4,2026-01-26
11,Pomfret,61.1,15,NR,5,25,10-4-2,68.8,4-1-0,8908.0,2026-01-26
12,Holderness,59.3,9,12,NR,21,-,50.0,-,9262.8,2026-01-26
13,Brunswick,56.9,13,13,NR,8,-,50.0,-,6816.4,2026-01-26
14,Andover,52.5,16,NR,NR,19,-,50.0,-,9731.1,2026-01-26
15,Westminster,49.9,NR,NR,12,30,8-7-1,53.1,3-2-0,8689.5,2026-01-26
16,Kent School,49.4,NR,NR,14,17,8-8-0,50.0,3-2-0,9076.2,2026-01-26
17,Middlesex,49.2,NR,NR,10,36,5-3-1,61.1,4-1-0,7099.2,2026-01-26
18,Berkshire School,48.6,NR,14,NR,11,-,50.0,-,9292.2,2026-01-26
19,Cushing Academy,48.5,NR,NR,NR,13,-,50.0,-,9015.1,2026-01-26
20,Choate,48.3,NR,NR,15,27,5-4-3,54.2,1-2-2,8484.2,2026-01-26
